Link,Issue description,root cause,symptom,fix
"""https://github.com/cupy/cupy/issues/3302""","""Element-wise power of ndarray is not accurate""",precision issue,wrong results ,fix the last digit 
"""https://github.com/cupy/cupy/issues/3274""","""CUSOLVERError: CUSOLVER_STATUS_INVALID_VALUE""",precision issue,error,fix the library 
"""https://github.com/cupy/cupy/issues/1912""","""cupy.cuda.memory.OutOfMemoryError: out of memory to allocate""",data type issue ,error,use reduction kernel
"""https://github.com/cupy/cupy/issues/2780""","""`TypeError` when using `cupy.nanstd` and `cupy.nanvar`""",data type issue,error,fix datatype
"""https://github.com/cupy/cupy/issues/3701""","""ValueError when loading .npy using np.load()""",data type issue unsupported,error,fix datatype 
"""https://github.com/cupy/cupy/issues/3652""","""NaN when using big-endian arrays""",special value issue,wrong results ,use automatic conversions
https://github.com/cupy/cupy/issues/3602,"""On how to enable users to use TF32 in CuPy""",datatype isse,different results,use correct versions of datatype
"""https://github.com/cupy/cupy/issues/3568""","""cupy.percentile only calculates integer percentiles when the input data is an integer.""",data type issue,wrong results ,fix the operation
"""https://github.com/cupy/cupy/issues/2360""","""Array indexing of sparse matrices""",precision issue,error,compress the numebrs
"""https://github.com/cupy/cupy/issues/4009""","""Possible typo (\""dype\"" instead of \""dtype\"") in cufft.pyx""",operator issue,error ,fix the operator support
"""https://github.com/cupy/cupy/issues/3909""","""Passing cupy functions into cupyx.scipy.ndimage.filters.generic_filter causes a TypeError""",data type issue,error ,unimplemented method
"""https://github.com/cupy/cupy/issues/4122""","""cp.exp(0) should return 1.0 not array(1.0)""",data type issue,wrong values ,fix the data type
"""https://github.com/cupy/cupy/issues/4121""","""Incorrect c type used for 64 bit integer (effects sort, unique and presumably various other functions)""",data type issue,wrong values ,fix the data type
"""https://github.com/cupy/cupy/issues/4072""","""cupyx.scipy.sparse missing the @ operator, i.e.  __matmul__ and __rmatmul__""",operator issue,error,add the operator
"""https://github.com/cupy/cupy/issues/2559""","""Single-precision `sum()` over certain axes sometimes deviates from NumPy's outcome""",precision issue,wrong values,fix the precision size
"""https://github.com/cupy/cupy/issues/4354""","""suprising behavior of cupy.array on numpy views with base array of a different dtype""",data type issue,wrong values ,change operations 
"""https://github.com/cupy/cupy/issues/4223""","""OverflowError: value too large to convert to int""",precision issue overflow,error,intermediate step computes overflow
https://github.com/cupy/cupy/issues/6047,cupyx.scipy.signal.convolve2d: integer overflow when using mixed dtypes†#6047,precision issue overflow,error,add for checks 
https://github.com/cupy/cupy/issues/5989,cupyx.scipy.signal.convolve2d yields a JitifyException: Runtime compilation†#5989,data type casting issue,error,adding support to datatype
https://github.com/cupy/cupy/issues/5848,Indexing with assignment between broadcastable arrays is inconsistent with NumPy†#5848,data type issue,error,fix  the operation
https://github.com/cupy/cupy/issues/5809,Issue of insert value in large matrix bug†#5809,precision issue,wrong value,change the numbers
https://github.com/cupy/cupy/issues/5568,IndexError when convolving with float scalar†#5568,data type issue,error,fix the method
https://github.com/cupy/cupy/issues/5537,Issue in cupyx/scipy/ndimage/_spline_prefilter_core.py with min() operation in large arrays for cupyx.scipy.ndimage.map_coordinates†#5537,data type issue,error,fix the operator instrics
https://github.com/cupy/cupy/issues/5320,cp.array†turns some array into†nan†?†#5320,special value ,wrong results,fixing endieness or adding checks
https://github.com/cupy/cupy/issues/5315,cupy.nanmedian bug report†#5315,special value,wrong results,fix nan checks correctly
https://github.com/cupy/cupy/issues/5246,Wrong behavior of†cupy.random.Generator.integers†#5246,operator issue,wrong results ,fix operator
https://github.com/cupy/cupy/issues/5175,CSC matrix constructor bug†#5175,operator issue,wrong results ,fix operator 
https://github.com/cupy/cupy/issues/4896,Slow sum/mean/max/... matrix operations compared to PyTorch†#4896,environmental issue,performance issue,change environment
https://github.com/cupy/cupy/issues/4891,[Issue] cp.matmul slower than np.matmul ??†#4891,environmental issue,bad performance ,mixed precision/change datatype
https://github.com/cupy/cupy/issues/4550,ndimage.map_coordinates performs incorrectly with several order values†#4550,precision rounding issue,wrong results ,change precision values 
https://github.com/cupy/cupy/issues/4136,the†get†function of the sparse matrix†csr†with stream does not give excepted result.†#4136,operator issue,wrong results,fix the operator
https://github.com/cupy/cupy/issues/4082,Compilation error with cval=cp.nan in scipy.ndimage.interpolation.shift†#4082,special value,error,handle nan and inf
https://github.com/cupy/cupy/issues/3984,cupy.cumsum unable to cast argument from list to cupy.ndarray in 8.0.0rc1†#3984,data type casting issue,error,handle explicit casting
https://github.com/cupy/cupy/issues/3931,Performance issue : cupy is 800 times slower than numpy in linalg.solve()†#3931,operator issue,bad performance ,fix the operator to handle directly
https://github.com/cupy/cupy/issues/3325,cupy.put behaves differently than numpy.put†#3325,data type issue ,value error ,only type scalar values 
https://github.com/cupy/cupy/issues/3232,Lexsort output is incorrect†#3232,operator issue,error,fix the operator
https://github.com/cupy/cupy/issues/6255,Wrong index calculation in constructing sparse random matrix†#6255,precision issue round error,wrong values ,fix the implementation
https://github.com/cupy/cupy/issues/6214,Undefined behavior on overlapping†matmul†out†#6214,operator issue,wrong values,fix the operator
https://github.com/cupy/cupy/issues/6207,Unable to convert some constants in cupy.jit†#6207,casting issue precision,error,add casting support
https://github.com/cupy/cupy/issues/5909,ndarray.clip†signature does not match NumPy†#5909,operator issue,error,fix the operator 
https://github.com/cupy/cupy/issues/5831,Random State returning inconsistent results†#5831,operator issue,wrong values,fix the operator 
https://github.com/cupy/cupy/issues/5716,Incorrect output of†cupy.logaddexp()†#5716,special value bug,wrong results,fix operation
https://github.com/cupy/cupy/issues/5704,Edge cases of compatibility in†numpy.eye()†#5704,overflow precision,error,fix the edge cases 
https://github.com/cupy/cupy/issues/5647,cp.unique gives IndexError when passed an empty array.†#5647,operator issue ,error ,fix cp.unique
https://github.com/cupy/cupy/issues/5580,copyto†bool array from complex array†#5580,precision casting,wrong results ,fix the casting
https://github.com/cupy/cupy/issues/5527,unsafe cast from complex becomes NVRTC compile error†#5527,precision issue casting,error,fix the casting
https://github.com/cupy/cupy/issues/5466,Random Generator wrong values for larger sizes more than 1d†#5466,operator issue,wrong results ,fix the operator
https://github.com/cupy/cupy/issues/5328,Unexpected error while assigning array element†#5328,precision issue overflow,error,fix the int overflow
https://github.com/cupy/cupy/issues/5296,Get segmentation fault with FFT callback function†#5296,environmental issue,error,fix or change the environment
https://github.com/cupy/cupy/issues/6662,Complex number calculations differ from numpy#6662,precision issues,wrong results,changing the precision levels
https://github.com/cupy/cupy/issues/6463,Very slow product for sparse matrices#6463,data type issue,bad performance,fix the data type
https://github.com/cupy/cupy/issues/6426,cupy.asarray/cp.array fails to create from numpy ndarray with structured dtype†#6426,operator issue,error message,use custom kernel strategy
https://github.com/cupy/cupy/issues/6255,Wrong index calculation in constructing sparse random matrix†#6255,operator issue,error message,fix the operator
https://github.com/cupy/cupy/issues/6661,poly1d with int64 arrays -- unexpected output†#6661,operator issue,error message,fix the operator
https://github.com/cupy/cupy/issues/6618,Include C libraries to user defined kernels†#6618,operator issue,error message,fix the operator
https://github.com/cupy/cupy/issues/6577,cupy.full†makes casting in†safe†rule†#6577,casting issue data type,error message,add the support
https://github.com/cupy/cupy/issues/6517,cupy.cumsum()†doesn't work in ROCm 5.0†#6517,operator issue,error message,fix the operator
https://github.com/cupy/cupy/issues/6463,Very slow product for sparse matrices†#6463,data type issue,bad performance,fix the data type
https://github.com/cupy/cupy/issues/6425,Large array std is different from numpy (CPU)†#6425,precision issues,wrong results,change the numerical precision
https://github.com/cupy/cupy/issues/6400,cupy.nan_to_num does not accept cupy.nan†#6400,special value bug,produce wrong results and error,Add checks to nan
https://github.com/ginkgo-project/ginkgo/issues/1002,what is the gko::remove_complex<ValueType>?†#1002,data type issue,error,fix the support
https://github.com/ginkgo-project/ginkgo/issues/741,Precision for matmul apply()†#741,precision issue rounding,wrong results ,use fine precision values
https://github.com/ginkgo-project/ginkgo/issues/606,[Error] inverse-iteration†#606,datatype issue,error,fix datatype support
https://github.com/ginkgo-project/ginkgo/issues/547,Adding†remove_complex†to norms in general inside Ginkgo†#547,datatype issue,error,add support to datatype
https://github.com/ginkgo-project/ginkgo/issues/423,Solvers do not preserve the real type of their parameters†#423,datat type isse,wrong results ,fix the data type issue
https://github.com/NVIDIA/MatX/issues/142,[BUG] matmul throws a CUBLAS_STATUS_INVALID_VALUE exception when passed a permuted view†#142,operator issue ,error,fix the operator
https://github.com/NVIDIA/MatX/issues/137,[BUG] Reduce operations give partly wrong results with 3D tensors.†#137,data type issue ,wrong results ,fix the datatype support
https://github.com/NVIDIA/MatX/issues/126,[BUG] matx::matmul can't be performed on tensors created from user-defined pointers†#126,data type issue ,wrong results ,fix the datatype support
https://github.com/NVIDIA/MatX/issues/121,[BUG] Tensors created from user-defined pointers cannot be printed†#121,data type issue ,wrong results ,fix the datatype support
https://github.com/elixir-nx/nx/issues/199,Nx.power/2 on BinaryTensor fails when exponent is negative†#199,special value,wrong results ,fix negative exponent values 
https://github.com/numba/numba/issues/7324,fast_matmul in docs example not working properly - returning wrong results†#7324,operator iisue,wrong results ,fix the operator behavior
https://github.com/numba/numba/issues/7041,Trouble transferring array with string values on cuda†#7041,data type issue,error,implement type conversions
https://github.com/numba/numba/issues/6965,CUDA: Atomics tests fail with NumPy 1.20†#6965,special value,error,check for the values input
https://github.com/numba/numba/issues/6563,CUDA: Add support for passing tuples to kernels via vectorize†#6563,data type issue,error,add support for tuples
https://github.com/numba/numba/issues/5820,Add back support for atomics that always return the non-NaN values†#5820,special value,wrong results ,add checks
https://github.com/numba/numba/issues/5744,Issue with vectorize for GPU#5744,data type issue,error,fix the datatype
https://github.com/numba/numba/issues/5642,Could numba support big integers for a * b?†#5642,precision data type issue,wrong results ,do not use large numbers
https://github.com/numba/numba/issues/5391,the right way to jit a matrix dot function (why so slow?)†#5391,operator issue,bad performance,fix the operator
https://github.com/numba/numba/issues/4907,Cuda: Using shared memory to add numbers results in overwriting†#4907,operator issue,wrong reults,use atomic operations
https://github.com/numba/numba/issues/4668,Round segfaults in cuda jitted function if passed ndigits optional parameter†#4668,special value bug,wrong results ,handle NaN
https://github.com/numba/numba/issues/4438,paralled numpy array error:†#4438,data type issue,error,fix the data type
https://github.com/numba/numba/issues/4405,CUDA functions can be compiled but not called with Tuple and UniTuple arguments†#4405,datatype issue,error ,add support for tuples
https://github.com/numba/numba/issues/4140,Numba CUDA kernels fail when passing 0-size cupy arrays†#4140,operator issue ,error,add support for 0 size arrays
https://github.com/numba/numba/issues/4000,LoweringError when using sqrt in CUDA†#4000,precision issue,error,change the precision
,,,,
,,,,
,,,,
